cohort_month,purchase_month,months_since_first,retained_customers,cohort_customers,retention_rate
2017-02-01,2018-05-01,15,1,1690,0.000591715976331361
2017-02-01,2018-06-01,16,1,1690,0.000591715976331361
2017-02-01,2018-07-01,17,4,1690,0.002366863905325444
2017-03-01,2017-03-01,0,2571,2571,1.0
2017-03-01,2017-04-01,1,13,2571,0.005056398288603656
2017-03-01,2017-05-01,2,9,2571,0.003500583430571762
2017-03-01,2017-06-01,3,10,2571,0.0038895371450797353
2017-03-01,2017-07-01,4,9,2571,0.003500583430571762
2017-03-01,2017-08-01,5,4,2571,0.0015558148580318942
2017-03-01,2017-09-01,6,4,2571,0.0015558148580318942
2017-03-01,2017-10-01,7,8,2571,0.0031116297160637884
2017-03-01,2017-11-01,8,9,2571,0.003500583430571762
2017-03-01,2017-12-01,9,2,2571,0.0007779074290159471
2017-03-01,2018-01-01,10,10,2571,0.0038895371450797353
2017-03-01,2018-02-01,11,3,2571,0.0011668611435239206
2017-03-01,2018-03-01,12,6,2571,0.002333722287047841
2017-03-01,2018-04-01,13,3,2571,0.0011668611435239206
2017-03-01,2018-05-01,14,4,2571,0.0015558148580318942
2017-03-01,2018-06-01,15,6,2571,0.002333722287047841
2017-03-01,2018-07-01,16,2,2571,0.0007779074290159471
2017-03-01,2018-08-01,17,4,2571,0.0015558148580318942
2017-04-01,2017-04-01,0,2325,2325,1.0
2017-04-01,2017-05-01,1,14,2325,0.006021505376344086
2017-04-01,2017-06-01,2,5,2325,0.002150537634408602
2017-04-01,2017-07-01,3,4,2325,0.0017204301075268817
2017-04-01,2017-08-01,4,7,2325,0.003010752688172043
2017-04-01,2017-09-01,5,6,2325,0.0025806451612903226
2017-04-01,2017-10-01,6,8,2325,0.0034408602150537634
2017-04-01,2017-11-01,7,7,2325,0.003010752688172043
2017-04-01,2017-12-01,8,7,2325,0.003010752688172043
2017-04-01,2018-01-01,9,4,2325,0.0017204301075268817
2017-04-01,2018-02-01,10,6,2325,0.0025806451612903226
2017-04-01,2018-03-01,11,2,2325,0.0008602150537634409
2017-04-01,2018-04-01,12,2,2325,0.0008602150537634409
2017-04-01,2018-05-01,13,1,2325,0.00043010752688172043
2017-04-01,2018-06-01,14,2,2325,0.0008602150537634409
2017-04-01,2018-07-01,15,2,2325,0.0008602150537634409
2017-04-01,2018-08-01,16,3,2325,0.0012903225806451613
2017-05-01,2017-05-01,0,3541,3541,1.0
2017-05-01,2017-06-01,1,17,3541,0.0048009036995199095
2017-05-01,2017-07-01,2,17,3541,0.0048009036995199095
2017-05-01,2017-08-01,3,14,3541,0.003953685399604632
2017-05-01,2017-09-01,4,11,3541,0.0031064670996893535
2017-05-01,2017-10-01,5,12,3541,0.003388873199661113
2017-05-01,2017-11-01,6,15,3541,0.004236091499576391
2017-05-01,2017-12-01,7,5,3541,0.001412030499858797
2017-05-01,2018-01-01,8,9,3541,0.0025416548997458347
2017-05-01,2018-02-01,9,9,3541,0.0025416548997458347
2017-05-01,2018-03-01,10,9,3541,0.0025416548997458347
2017-05-01,2018-04-01,11,12,3541,0.003388873199661113
2017-05-01,2018-05-01,12,9,3541,0.0025416548997458347
2017-05-01,2018-06-01,13,1,3541,0.0002824060999717594
2017-05-01,2018-07-01,14,7,3541,0.001976842699802316
2017-05-01,2018-08-01,15,8,3541,0.0022592487997740753
2017-06-01,2017-06-01,0,3102,3102,1.0
2017-06-01,2017-07-01,1,14,3102,0.004513217279174726
2017-06-01,2017-08-01,2,11,3102,0.0035460992907801418
2017-06-01,2017-09-01,3,12,3102,0.0038684719535783366
2017-06-01,2017-10-01,4,8,3102,0.0025789813023855577
2017-06-01,2017-11-01,5,12,3102,0.0038684719535783366
2017-06-01,2017-12-01,6,11,3102,0.0035460992907801418
2017-06-01,2018-01-01,7,7,3102,0.002256608639587363
2017-06-01,2018-02-01,8,4,3102,0.0012894906511927789
2017-06-01,2018-03-01,9,7,3102,0.002256608639587363
2017-06-01,2018-04-01,10,10,3102,0.003223726627981947
2017-06-01,2018-05-01,11,10,3102,0.003223726627981947
2017-06-01,2018-06-01,12,5,3102,0.0016118633139909735
2017-06-01,2018-07-01,13,4,3102,0.0012894906511927789
2017-06-01,2018-08-01,14,6,3102,0.0019342359767891683
2017-07-01,2017-07-01,0,3822,3822,1.0
2017-07-01,2017-08-01,1,20,3822,0.0052328623757195184
2017-07-01,2017-09-01,2,13,3822,0.003401360544217687
2017-07-01,2017-10-01,3,9,3822,0.002354788069073783
2017-07-01,2017-11-01,4,11,3822,0.0028780743066457353
2017-07-01,2017-12-01,5,8,3822,0.0020931449502878076
2017-07-01,2018-01-01,6,12,3822,0.0031397174254317113
2017-07-01,2018-02-01,7,4,3822,0.0010465724751439038
2017-07-01,2018-03-01,8,7,3822,0.0018315018315018315
2017-07-01,2018-04-01,9,10,3822,0.0026164311878597592
2017-07-01,2018-05-01,10,8,3822,0.0020931449502878076
2017-07-01,2018-06-01,11,11,3822,0.0028780743066457353
2017-07-01,2018-07-01,12,5,3822,0.0013082155939298796
2017-07-01,2018-08-01,13,10,3822,0.0026164311878597592
2017-08-01,2017-08-01,0,4130,4130,1.0
2017-08-01,2017-09-01,1,28,4130,0.006779661016949152
2017-08-01,2017-10-01,2,14,4130,0.003389830508474576
2017-08-01,2017-11-01,3,11,4130,0.0026634382566585956
2017-08-01,2017-12-01,4,15,4130,0.0036319612590799033
2017-08-01,2018-01-01,5,22,4130,0.005326876513317191
2017-08-01,2018-02-01,6,12,4130,0.0029055690072639223
2017-08-01,2018-03-01,7,11,4130,0.0026634382566585956
2017-08-01,2018-04-01,8,6,4130,0.0014527845036319612
2017-08-01,2018-05-01,9,6,4130,0.0014527845036319612
2017-08-01,2018-06-01,10,10,4130,0.002421307506053269
2017-08-01,2018-07-01,11,8,4130,0.001937046004842615
2017-08-01,2018-08-01,12,5,4130,0.0012106537530266344
2017-09-01,2017-09-01,0,4075,4075,1.0
2017-09-01,2017-10-01,1,28,4075,0.0068711656441717795
2017-09-01,2017-11-01,2,22,4075,0.005398773006134969
2017-09-01,2017-12-01,3,12,4075,0.00294478527607362
2017-09-01,2018-01-01,4,18,4075,0.004417177914110429
2017-09-01,2018-02-01,5,9,4075,0.0022085889570552146
2017-09-01,2018-03-01,6,9,4075,0.0022085889570552146
2017-09-01,2018-04-01,7,10,4075,0.00245398773006135
2017-09-01,2018-05-01,8,12,4075,0.00294478527607362
2017-09-01,2018-06-01,9,7,4075,0.0017177914110429449
2017-09-01,2018-07-01,10,11,4075,0.0026993865030674846
2017-09-01,2018-08-01,11,3,4075,0.000736196319018405
2017-10-01,2017-10-01,0,4392,4392,1.0
2017-10-01,2017-11-01,1,31,4392,0.007058287795992714
2017-10-01,2017-12-01,2,11,4392,0.0025045537340619307
2017-10-01,2018-01-01,3,4,4392,0.0009107468123861566
2017-10-01,2018-02-01,4,10,4392,0.002276867030965392
2017-10-01,2018-03-01,5,9,4392,0.0020491803278688526
2017-10-01,2018-04-01,6,9,4392,0.0020491803278688526
2017-10-01,2018-05-01,7,16,4392,0.0036429872495446266
2017-10-01,2018-06-01,8,12,4392,0.00273224043715847
2017-10-01,2018-07-01,9,9,4392,0.0020491803278688526
2017-10-01,2018-08-01,10,9,4392,0.0020491803278688526
2017-11-01,2017-11-01,0,7190,7190,1.0
2017-11-01,2017-12-01,1,40,7190,0.005563282336578581
2017-11-01,2018-01-01,2,28,7190,0.003894297635605007
2017-11-01,2018-02-01,3,12,7190,0.0016689847009735744
2017-11-01,2018-03-01,4,14,7190,0.0019471488178025036
2017-11-01,2018-04-01,5,13,7190,0.0018080667593880389
2017-11-01,2018-05-01,6,8,7190,0.0011126564673157164
2017-11-01,2018-06-01,7,14,7190,0.0019471488178025036
2017-11-01,2018-07-01,8,9,7190,0.0012517385257301808
2017-11-01,2018-08-01,9,4,7190,0.0005563282336578582
2017-12-01,2017-12-01,0,5439,5439,1.0
2017-12-01,2018-01-01,1,12,5439,0.002206287920573635
2017-12-01,2018-02-01,2,15,5439,0.0027578599007170436
2017-12-01,2018-03-01,3,19,5439,0.0034932892075749218
2017-12-01,2018-04-01,4,14,5439,0.002574002574002574
2017-12-01,2018-05-01,5,11,5439,0.0020224305938591654
2017-12-01,2018-06-01,6,9,5439,0.001654715940430226
2017-12-01,2018-07-01,7,2,5439,0.00036771465342893915
2017-12-01,2018-08-01,8,12,5439,0.002206287920573635
2018-01-01,2018-01-01,0,6951,6951,1.0
2018-01-01,2018-02-01,1,23,6951,0.003308876420658898
2018-01-01,2018-03-01,2,25,6951,0.0035966048050640196
2018-01-01,2018-04-01,3,20,6951,0.0028772838440512156
2018-01-01,2018-05-01,4,20,6951,0.0028772838440512156
2018-01-01,2018-06-01,5,11,6951,0.0015825061142281686
2018-01-01,2018-07-01,6,12,6951,0.0017263703064307294
2018-01-01,2018-08-01,7,16,6951,0.0023018270752409725
2018-02-01,2018-02-01,0,6357,6357,1.0
2018-02-01,2018-03-01,1,23,6357,0.0036180588327827594
2018-02-01,2018-04-01,2,25,6357,0.003932672644329086
2018-02-01,2018-05-01,3,19,6357,0.0029888312096901055
2018-02-01,2018-06-01,4,17,6357,0.0026742173981437784
2018-02-01,2018-07-01,5,14,6357,0.0022022966808242883
2018-02-01,2018-08-01,6,13,6357,0.002044989775051125
2018-03-01,2018-03-01,0,6931,6931,1.0
2018-03-01,2018-04-01,1,28,6931,0.004039821093637282
2018-03-01,2018-05-01,2,21,6931,0.003029865820227961
2018-03-01,2018-06-01,3,20,6931,0.0028855864954552015
2018-03-01,2018-07-01,4,9,6931,0.0012985139229548406
2018-03-01,2018-08-01,5,8,6931,0.0011542345981820806
2018-04-01,2018-04-01,0,6698,6698,1.0
2018-04-01,2018-05-01,1,39,6698,0.0058226336219767095
2018-04-01,2018-06-01,2,21,6698,0.003135264257987459
2018-04-01,2018-07-01,3,16,6698,0.002388772767990445
2018-04-01,2018-08-01,4,9,6698,0.0013436846819946252
2018-05-01,2018-05-01,0,6586,6586,1.0
2018-05-01,2018-06-01,1,34,6586,0.00516246583662314
2018-05-01,2018-07-01,2,17,6586,0.00258123291831157
2018-05-01,2018-08-01,3,13,6586,0.0019738839963559063
2018-06-01,2018-06-01,0,5920,5920,1.0
2018-06-01,2018-07-01,1,25,5920,0.004222972972972973
2018-06-01,2018-08-01,2,16,5920,0.002702702702702703
2018-07-01,2018-07-01,0,6016,6016,1.0
2018-07-01,2018-08-01,1,31,6016,0.005152925531914893
2018-08-01,2018-08-01,0,6209,6209,1.0
2018-08-01,2018-09-01,1,1,6209,0.00016105653084232566
