category,gmv,orders,items,freight,aov,freight_to_gmv,cumulative_gmv_share,gmv_rank
food,29393.41000000016,450,510,7271.030000000003,65.31868888888924,0.24736939334360877,0.9775992840365589,42
market_place,28378.470000000096,280,311,5456.060000000003,101.35167857142892,0.19226054117787128,0.9796872191403905,43
costruction_tools_garden,25715.89000000004,194,238,5311.399999999998,132.55613402061877,0.20654155854609696,0.9815792559364992,44
art,24202.639999999992,202,209,4045.1700000000014,119.81504950495045,0.16713755193648308,0.9833599559411647,45
fashion_shoes,23562.770000000062,240,262,4918.87,98.17820833333359,0.2087560163766818,0.9850935777546911,46
drinks,22428.70000000004,297,379,5741.249999999986,75.51750841750855,0.25597783197421053,0.9867437608006165,47
signaling_and_security,21509.230000000018,140,199,6507.819999999996,153.63735714285727,0.30255941286601107,0.9883262941920707,48
furniture_bedroom,20028.78000000001,95,109,4632.229999999998,210.82926315789484,0.23127868996513995,0.9897999040395683,49
books_technical,19096.059999999983,260,267,4283.0599999999995,73.44638461538455,0.22429024626022348,0.9912048893688998,50
costruction_tools_tools,15903.949999999992,97,103,2030.2199999999996,163.95824742268033,0.12765507939851425,0.9923750164227747,51
food_drink,15179.47999999998,227,278,4507.989999999997,66.86995594713648,0.2969792114090867,0.9934918408727859,52
fashion_male_clothing,10797.81999999998,112,132,2152.409999999998,96.40910714285697,0.19933745885743623,0.9942862863599053,53
fashion_underwear_beach,9541.549999999987,121,131,1916.189999999999,78.85578512396683,0.20082586162625587,0.9949883022610432,54
christmas_supplies,8800.81999999999,128,153,3229.2999999999993,68.75640624999993,0.36693171772630306,0.9956358192350204,55
tablets_printing_image,7528.409999999996,79,83,1226.2000000000005,95.296329113924,0.16287635769040223,0.9961897191286735,56
cine_photo,6933.459999999996,65,72,1256.2000000000007,106.66861538461534,0.18117938229974664,0.9966998458030506,57
music,6034.3499999999985,38,38,690.5099999999999,158.7986842105263,0.11442988888612693,0.9971438208021892,58
dvds_blu_ray,5999.389999999996,59,64,1288.7400000000002,101.68457627118637,0.21481183920365257,0.9975852236326652,59
books_imported,4639.849999999998,53,60,769.8500000000001,87.54433962264146,0.16592131211138303,0.9979265988263071,60
party_supplies,4485.18,39,43,827.9700000000001,115.00461538461539,0.1846012869048734,0.9982565942337058,61
furniture_mattress_and_upholstery,4368.08,38,38,1630.4599999999998,114.94947368421053,0.3732669731323602,0.9985779740532783,62
portateis_cozinha_e_preparadores_de_alimentos,3968.53,14,15,309.75999999999993,283.4664285714286,0.0780540905574608,0.9988699571340296,63
fashio_female_clothing,2803.6400000000012,39,48,621.7499999999999,71.88820512820516,0.22176527656903156,0.9990762338774376,64
fashion_sport,2119.510000000001,27,30,578.1299999999999,78.50037037037042,0.27276587513151607,0.9992321760170921,65
la_cuisine,2054.99,13,14,333.55000000000007,158.07615384615383,0.16231222536362713,0.9993833711223612,66
arts_and_craftmanship,1814.0100000000002,23,24,370.13,78.87,0.20403966902056767,0.9995168362160642,67
diapers_and_hygiene,1567.5900000000001,27,39,573.6800000000003,58.058888888888895,0.36596303880478964,0.9996321710522769,68
pc_gamer,1545.95,8,9,133.57,193.24375,0.08639994825188395,0.9997459137337451,69
flowers,1110.0399999999997,29,33,488.8700000000001,38.27724137931033,0.4404075528809775,0.9998275845032636,70
home_comfort_2,760.2699999999998,24,30,410.31,31.677916666666658,0.5396898470280297,0.9998835210784697,71
cds_dvds_musicals,730.0,12,14,224.99,60.833333333333336,0.3082054794520548,0.9999372305499739,72
fashion_childrens_clothes,569.85,8,8,95.50999999999999,71.23125,0.16760551022198822,0.9999791570463253,73
security_and_services,283.28999999999996,2,2,41.22,141.64499999999998,0.14550460658688977,0.9999999999999999,74
